Movie Name,Storyline,Processed_Storyline
108. Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",barber seek vengeanc home burglar cryptic tell polic lakshmi taken leav uncertain person object quest recov elus lakshmi unfold
109. Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.,psychic medium attempt uncov truth behind sister murder site crime
110. The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength.",year odysseu final return ithaca find wife held prison suitor vy king son face death hand win back famili lost odysseu must rediscov strength
111. Amber Alert,A ride-share turns into a high-stakes game of cat and mouse after it follows a car fitting the description of an AMBER ALERT.,rideshar turn highstak game cat mous follow car fit descript amber alert
112. Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family.",reclus gym manag lou fall hard jacki ambiti bodybuild head town vega pursuit dream love ignit violenc pull deep web lou crimin famili
113. Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.,mercenari take job track target plane must protect target theyr surround peopl tri kill
114. Parthenope,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters.",woman born sea napl search happi long summer youth fall love home citi mani memor charact
115. Immaculate,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets.",cecilia woman devout faith warmli welcom pictureperfect italian countrysid offer new role illustri convent becom clear cecilia new home harbor dark horrifi secret
116. The Assessment,"In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare.",near futur parenthood strictli control coupl sevenday assess right child unravel psycholog nightmar
117. Back to Black,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time.",life music ami winehous journey adolesc adulthood creation one bestsel album time
118. Stream,"The Keenan family's simple weekend getaway truly turns into a vacation to die for, as four deranged killers playing a sadistic game lock down their hotel and compete for the most creative murders of all the guests.",keenan famili simpl weekend getaway truli turn vacat die four derang killer play sadist game lock hotel compet creativ murder guest
119. Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.,famili becom convinc alon move new home suburb
120. Here,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life.",gener stori famili special place inhabit share love loss laughter life
121. Nightbitch,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn.",woman paus career stayathom mom soon domest take surreal turn
122. Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,singl father two women ventur safeti home face monstrou creatur save life young boy
123. Exhuma,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.,process excav omin grave unleash dread consequ buri underneath
124. Scared to Death,"Jasper, a young filmmaker, seizes a chance to direct when his crew attends a seance in a haunted children's shelter. Trapped inside, they're haunted by ghostly orphans and a sinister force.",jasper young filmmak seiz chanc direct crew attend seanc haunt children shelter trap insid theyr haunt ghostli orphan sinist forc
125. Sidelined: The QB and Me,A headstrong dancer and a cocky quarterback fight against their feelings for each other as their post-grad future threatens to keep them apart.,headstrong dancer cocki quarterback fight feel postgrad futur threaten keep apart
126. The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",sudden attack wulf clever traitor lord rohan seek vengeanc death father forc helm hammerhand king rohan peopl make dare last stand ancient stronghold hornburg
127. Miller's Girl,A creative writing assignment yields complex results between a teacher and his talented student.,creativ write assign yield complex result teacher talent student
128. Greedy People,Follows the residents of a small island town who must navigate a sensational murder and the discovery of a million dollars; a series of increasingly bad decisions upend the once peaceful community.,follow resid small island town must navig sensat murder discoveri million dollar seri increasingli bad decis upend peac commun
129. A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare.",aspir actor undergo radic medic procedur drastic transform appear new dream face quickli turn nightmar
130. All of You,A stirring near-futuristic romance of two best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.,stir nearfuturist romanc two best friend harbor unspoken love one anoth even test match one suppos soulmat
131. Rust,An orphaned boy of 13 left to fend for himself and his younger brother in 1880s Wyoming is sentenced to hang for the accidental killing of a local rancher. His estranged grandfather breaks him out of jail and they go on the run to Mexico.,orphan boy left fend younger brother wyom sentenc hang accident kill local rancher estrang grandfath break jail go run mexico
132. September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",summer olymp munich germani american sport broadcast team must adapt live coverag isra athlet held hostag terrorist group
133. Saturday Night,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975).",pm octob th feroci troup young comedian writer chang televis forev find happen behind scene minut lead first broadcast saturday night live
134. Empire Waist,Follows a group of teens learning to love their bodies through inclusive fashion design and friendship.,follow group teen learn love bodi inclus fashion design friendship
135. Salem's Lot,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire.",author return hometown jerusalem lot search inspir next book discov townspeopl attack bloodthirsti vampir
